Lake,Date_Sampled,Results,,,,,,,,,,,,,,
Kegonsa,2010-07-14,55.3,,,,,,,,,,,,,,
Kegonsa,2010-08-12,53.8,,,,,,,,,,,,,,
Kegonsa,2010-09-09,54.4,,,,,,,,,,,,,,
Kegonsa,2010-10-18,55.0,,,,,,,,,,,,,,
Kegonsa,2010-11-15,54.5,,,,,,,,,,,,,,
Kegonsa,2010-12-07,56.0,,,,,,,,,,,,,,
Kegonsa,2011-01-25,57.3,,,,,,,,,,,,,,
Kegonsa,2011-02-23,56.0,,,,,,,,,,,,,,
Kegonsa,2011-03-14,54.8,,,,,,,,,,,,,,
Kegonsa,2011-04-28,52.8,,,,,,,,,,,,,,
Kegonsa,2011-05-31,52.5,,,,,,,,,,,,,,
Kegonsa,2011-06-29,50.5,,,,,,,,,,,,,,
Kegonsa,2011-07-25,55.0,,,,,,,,,,,,,,
Kegonsa,2011-08-15,56.6,,,,,,,,,,,,,,
Kegonsa,2011-09-13,57.4,,,,,,,,,,,,,,
Kegonsa,2011-10-03,59.3,,,,,,,,,,,,,,
Kegonsa,2011-11-21,58.3,,,,,,,,,,,,,,
Kegonsa,2011-12-12,57.5,,,,,,,,,,,,,,
Kegonsa,2012-01-09,59.9,,,,,,,,,,,,,,
Kegonsa,2012-02-07,61.2,,,,,,,,,,,,,,
Kegonsa,2012-04-24,59.6,,,,,,,,,,,,,,
Kegonsa,2012-05-30,58.0,,,,,,,,,,,,,,
Kegonsa,2012-06-26,59.2,,,,,,,,,,,,,,
Kegonsa,2012-08-02,62.8,,,,,,,,,,,,,,
Kegonsa,2012-08-20,63.9,,,,,,,,,,,,,,
Kegonsa,2012-10-30,62.8,,,,,,,,,,,,,,
Kegonsa,2012-11-28,62.4,,,,,,,,,,,,,,
Kegonsa,2012-12-17,64.2,,,,,,,,,,,,,,
Kegonsa,2013-02-04,66.3,,,,,,,,,,,,,,
Kegonsa,2013-02-18,65.8,,,,,,,,,,,,,,
Kegonsa,2013-03-14,71.7,,,,,,,,,,,,,,
Kegonsa,2013-05-08,62.0,,,,,,,,,,,,,,
Kegonsa,2013-06-19,65.4,,,,,,,,,,,,,,
Kegonsa,2013-07-16,60.2,,,,,,,,,,,,,,
Kegonsa,2013-08-14,61.9,,,,,,,,,,,,,,
Kegonsa,2013-09-10,63.2,,,,,,,,,,,,,,
Kegonsa,2013-10-24,64.5,,,,,,,,,,,,,,
Kegonsa,2013-12-02,64.8,,,,,,,,,,,,,,
Kegonsa,2013-12-18,67.0,,,,,,,,,,,,,,
Kegonsa,2014-02-24,72.6,,,,,,,,,,,,,,
Kegonsa,2014-03-20,71.2,,,,,,,,,,,,,,
Kegonsa,2014-04-17,62.1,,,,,,,,,,,,,,
Kegonsa,2014-06-25,63.1,,,,,,,,,,,,,,
Kegonsa,2014-07-17,64.9,,,,,,,,,,,,,,
Kegonsa,2014-08-14,64.5,,,,,,,,,,,,,,
Kegonsa,2014-09-08,65.1,,,,,,,,,,,,,,
Kegonsa,2014-10-29,65.5,,,,,,,,,,,,,,
Kegonsa,2014-12-11,68.2,,,,,,,,,,,,,,
Kegonsa,2015-01-27,70.2,,,,,,,,,,,,,,
Kegonsa,2015-02-17,70.8,,,,,,,,,,,,,,
